repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
JavaGuide,,,0.0,,,0.0,,,0.0
hello-algo,1.87,2.0,1.51,1.0,1.0,0.0,4.71,1.0,10.46
GitHub-Chinese-Top-Charts,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
java-design-patterns,3.36,3.0,2.61,1.2,1.0,0.53,1.83,0.0,6.35
mall,3.93,3.0,4.97,1.24,1.0,0.44,1110.8,13.0,8155.56
spring-boot,5.49,4.0,6.42,1.29,1.0,0.77,12.94,0.0,108.31
advanced-java,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LeetCodeAnimation,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
elasticsearch,,,0.0,,,0.0,,,0.0
ghidra,,,0.0,,,0.0,,,0.0
Java,2.08,2.0,1.48,1.04,1.0,0.26,11.2,1.0,37.12
interviews,1.19,1.0,1.25,1.0,1.0,0.06,0.29,0.0,0.93
spring-framework,5.25,3.0,6.81,1.47,1.0,1.52,29.5,0.0,274.12
termux-app,5.91,4.0,7.19,1.43,1.0,0.7,60.83,0.0,236.37
guava,4.21,2.0,5.69,1.86,1.0,2.32,51.59,0.0,463.24
dbeaver,,,0.0,,,0.0,,,0.0
RxJava,2.33,1.0,5.15,1.32,1.0,0.89,47.88,0.0,1822.91
jadx,4.37,3.0,6.48,1.65,1.0,1.24,32.3,0.0,317.3
JeecgBoot,7.36,4.0,9.6,1.18,1.0,0.45,55.87,0.0,362.76
dubbo,5.44,4.0,5.85,1.29,1.0,0.69,45.92,1.0,434.8
MPAndroidChart,8.84,5.0,10.01,1.98,1.0,1.23,91.03,1.0,517.8
halo,7.7,5.0,7.37,1.27,1.0,0.69,7.66,0.0,31.41
NewPipe,8.66,5.0,10.62,1.72,1.0,1.15,47.87,1.0,249.4
tutorials,4.13,3.0,4.01,1.11,1.0,0.42,5.9,0.0,40.12
arthas,4.69,3.0,5.79,1.36,1.0,0.75,30.2,0.0,149.87
ruoyi-vue-pro,8.21,6.0,7.61,1.22,1.0,0.44,13.59,0.0,435.9
hello-algorithm,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
leetcode,2.69,2.0,1.98,1.01,1.0,0.08,0.37,0.0,0.87
lottie-android,6.97,5.0,8.35,1.29,1.0,0.65,35.8,0.0,302.49
awesome-system-design-resources,0.82,1.0,0.6,1.0,1.0,0.0,0.0,0.0,0.0
glide,5.98,4.0,6.5,1.24,1.0,0.8,20.0,0.0,157.74
netty,4.49,3.0,5.86,1.53,1.0,1.2,69.06,0.0,1152.79
selenium,5.79,4.0,7.01,1.38,1.0,1.05,33.5,1.0,285.34
spring-boot-demo,5.05,4.0,4.0,1.13,1.0,0.49,2.32,0.0,9.81
zxing,4.99,4.0,4.8,1.66,2.0,0.77,22.81,0.0,130.44
