file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,innerclass,2,2,0,2,8,1,0,2,19,0.71428573,0.0,0.0,7,0,6,0,0,1,7,0,0,0,1,0,0,0,0,1,1,0,2,24,6,0,0,0,0,0,0,1,0,1,0,0,0,0,17,0,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\googleTest\java\com\github\benmanes\caffeine\cache\stats\PackageSanityTests.java,com.github.benmanes.caffeine.cache.stats.PackageSanityTests,class,1,1,0,1,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,14,17,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\JSR166TestCase.java,com.github.benmanes.caffeine.jsr166.JSR166TestCase$CheckedBarrier,innerclass,0,0,0,0,4,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,0,2,0,0,1,0,1,0,0,0,23,9,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,innerclass,12,12,0,12,18,1,0,27,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,14,61,12,0,1,1,1,0,1,7,0,7,1,0,0,0,32,16,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\testFixtures\java\com\github\benmanes\caffeine\cache\CacheSpec.java,com.github.benmanes.caffeine.cache.CacheSpec$CacheExpiry,enum,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\MpscGrowableArrayQueue.java,com.github.benmanes.caffeine.cache.BaseMpscLinkedArrayQueueColdProducerFields,class,3,4,1,3,1,8,0,0,0,0.33333334,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,2,0,3,0,0,0,0,15,1024,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\test\java\com\github\benmanes\caffeine\cache\buffer\ManyToOneBuffer.java,com.github.benmanes.caffeine.cache.buffer.ManyToOneHeader,class,4,4,0,4,1,11,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,4,0,9,16,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\testFixtures\java\com\github\benmanes\caffeine\cache\RemovalNotification.java,com.github.benmanes.caffeine.cache.RemovalNotification,class,6,12,6,6,3,2,0,3,0,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,14,2,0,0,0,0,6,1,2,1,2,0,0,0,0,64,17,0
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\testFixtures\java\com\github\benmanes\caffeine\testing\Threads.java,com.github.benmanes.caffeine.testing.Threads,class,8,11,3,8,14,1,0,26,13,0.8333333,0.0,0.0,6,5,4,2,0,0,4,0,0,0,4,4,3,1,0,0,4,0,8,83,2,4,0,1,0,7,8,12,2,13,2,0,1,2,82,17,4
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\testFixtures\java\com\github\benmanes\caffeine\cache\CaffeineCacheFromContext.java,com.github.benmanes.caffeine.cache.CaffeineCacheFromContext,class,12,13,1,12,24,1,0,64,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,82,1,0,10,0,0,1,0,3,0,3,2,0,1,0,27,17,0
