file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,isConcurrent/0,false,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,permitsNullValues/0,false,52,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,Implementation/1[boolean],true,41,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,emptyMap/0,false,46,1,2,0,2,2,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,klazz/0,false,44,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,supportsSetValue/0,false,54,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\ConcurrentHashMapTest.java,com.github.benmanes.caffeine.jsr166.ConcurrentHashMapTest$1Implementation,permitsNullKeys/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\googleTest\java\com\github\benmanes\caffeine\cache\stats\PackageSanityTests.java,com.github.benmanes.caffeine.cache.stats.PackageSanityTests,PackageSanityTests/0,true,27,0,0,0,0,1,3,3,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\JSR166TestCase.java,com.github.benmanes.caffeine.jsr166.JSR166TestCase$CheckedBarrier,CheckedBarrier/1[int],true,1980,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\carva\OneDrive\Área de Trabalho\lab2 medição\LABORATO-RIO-02---Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\repos\caffeine\caffeine\src\jsr166Test\java\com\github\benmanes\caffeine\jsr166\JSR166TestCase.java,com.github.benmanes.caffeine.jsr166.JSR166TestCase$CheckedBarrier,await/0,false,1983,0,0,0,0,3,1,11,1,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,8,1,0,false
